HSCode,Country,Y1920P
90301000,Angola,0
90303390,Angola,20.95
90318000,Angola,1.89
90328990,Angola,380
90329000,Angola,9.39
99930090,Angola,0.01
38220090,Anguilla,1.77
54078290,Anguilla,0
84099990,Anguilla,0
84139190,Anguilla,0
84351000,Anguilla,0
85411000,Anguilla,50.57
85412900,Anguilla,16.38
85414011,Anguilla,0
85423100,Anguilla,0
32149090,Antartica,0
39069090,Antartica,0
41044100,Antartica,46.92
48193000,Antartica,0
63109040,Antartica,6.38
94052090,Antartica,0
27109900,Antigua,1.06
76020010,Antigua,21.38
78020010,Antigua,0
85235220,Antigua,0
85389000,Antigua,0
85412900,Antigua,35.18
85481020,Antigua,82.29
1012910,Argentina,0
1012990,Argentina,25.35
3061719,Argentina,93.97
3061790,Argentina,268.19
4041010,Argentina,71.18
4041020,Argentina,70.05
4049000,Argentina,146.66
6029090,Argentina,0
7131000,Argentina,568.51
7132010,Argentina,2077.91
7132090,Argentina,271.35
7133110,Argentina,0
7133190,Argentina,2291.55
7133300,Argentina,217.55
7139010,Argentina,1491.43
8044000,Argentina,16.91
8055000,Argentina,20.22
8081000,Argentina,1584.26
8083000,Argentina,186.68
8092900,Argentina,73.38
8101000,Argentina,0
8121000,Argentina,2.88
8132000,Argentina,75
9022020,Argentina,0
9024010,Argentina,93.59
9024020,Argentina,0
9024030,Argentina,1619.57
9024090,Argentina,28.16
9030000,Argentina,0.23
9092190,Argentina,101.07
10039000,Argentina,10457.95
10059000,Argentina,2043.76
10071000,Argentina,0.07
11081100,Argentina,0
12076010,Argentina,0
12079990,Argentina,58.26
12093000,Argentina,0.63
12099990,Argentina,0
13021300,Argentina,0
15050020,Argentina,9.2
15071000,Argentina,1291818.66
15121110,Argentina,87874.47
15121120,Argentina,1720.19
15121910,Argentina,24.17
15171029,Argentina,0
15200000,Argentina,274.91
18063100,Argentina,0
20041000,Argentina,0.28
20081920,Argentina,0
20093900,Argentina,303.84
20096900,Argentina,24.4
20098990,Argentina,64.78
20099000,Argentina,0.02
21069060,Argentina,0.11
22041000,Argentina,0.01
22042110,Argentina,10.97
22042120,Argentina,0
22042190,Argentina,80.69
22042910,Argentina,3.13
22042990,Argentina,69.41
23012011,Argentina,0
23040010,Argentina,0
23063090,Argentina,0
23099090,Argentina,28.88
24012010,Argentina,25.76
25081090,Argentina,3.32
25280030,Argentina,0
25280090,Argentina,299.36
26201900,Argentina,0
27090000,Argentina,0
27131100,Argentina,11171.28
28030010,Argentina,1683.33
28112910,Argentina,0
28112920,Argentina,145.84
28182090,Argentina,0.7
28281010,Argentina,8.36
28369100,Argentina,465.16
28401900,Argentina,236.78
28402090,Argentina,90.61
28439019,Argentina,191.18
28499020,Argentina,5.21
28521000,Argentina,0
29029010,Argentina,93.71
29054500,Argentina,442.34
29054900,Argentina,15.32
29061910,Argentina,0
29095090,Argentina,0
29101000,Argentina,0
29121100,Argentina,0.01
29153990,Argentina,3.2
29159010,Argentina,0.59
29159090,Argentina,0
29172000,Argentina,0
29212100,Argentina,0.06
29232010,Argentina,5321.62
29232090,Argentina,0
29239000,Argentina,12.84
29309099,Argentina,0
29329900,Argentina,113.43
29332990,Argentina,0.02
29333920,Argentina,2.39
29333990,Argentina,2145.38
29339100,Argentina,20.08
29339900,Argentina,369.96
29349900,Argentina,3.05
29359090,Argentina,0
29362800,Argentina,2.37
29372100,Argentina,9.94
29372200,Argentina,0
29372300,Argentina,0
29389090,Argentina,0.11
29419019,Argentina,127.88
29419090,Argentina,265.83
29420090,Argentina,3020.99
30022012,Argentina,108.98
30022029,Argentina,16.41
30029010,Argentina,2.72
30029030,Argentina,6.96
30029090,Argentina,19.55
30049049,Argentina,1.41
30049099,Argentina,6.15
30063000,Argentina,4.86
30064000,Argentina,64.31
31010099,Argentina,2237.56
31059090,Argentina,0.69
32011000,Argentina,1350.98
32021000,Argentina,0
32029010,Argentina,5.19
32029020,Argentina,37.69
32041439,Argentina,20.24
32041650,Argentina,40.21
32041751,Argentina,67.48
32041790,Argentina,0.03
32049000,Argentina,5.95
32091090,Argentina,27.12
32099090,Argentina,439.69
33011200,Argentina,0
33011300,Argentina,0.23
33011990,Argentina,0
33012936,Argentina,37.64
33012990,Argentina,50
33021090,Argentina,0.27
33029019,Argentina,6.44
33029090,Argentina,3.32
33042000,Argentina,124.67
33049910,Argentina,0
33049990,Argentina,0.24
33059090,Argentina,0.12
33061020,Argentina,0.01
33061090,Argentina,0
34011190,Argentina,0.03
34011919,Argentina,0.03
34013090,Argentina,0.02
34021300,Argentina,0.03
34022090,Argentina,0.32
34029020,Argentina,4.26
34029099,Argentina,2.2
34039100,Argentina,10.01
34039900,Argentina,403.79
34049020,Argentina,54.24
34049090,Argentina,0.03
34059010,Argentina,0
34070090,Argentina,0.12
35019000,Argentina,125.38
35069999,Argentina,0.85
35079099,Argentina,0
38051020,Argentina,7525.26
38051030,Argentina,195.53
38061010,Argentina,744.88
38061090,Argentina,70.77
38069090,Argentina,86.95
38089199,Argentina,54.98
38089290,Argentina,101.61
38089390,Argentina,0
38089990,Argentina,0
38122090,Argentina,0
38170011,Argentina,836.9
38210000,Argentina,12.18
38220019,Argentina,59.82
38220090,Argentina,154.88
38231900,Argentina,30.98
38246090,Argentina,0.02
38249990,Argentina,19.55
39012000,Argentina,17.29
39019090,Argentina,0.31
39021000,Argentina,10.49
39031990,Argentina,46.49
39041090,Argentina,382.16
39042200,Argentina,0.23
39069090,Argentina,5.88
39071000,Argentina,0.04
39072090,Argentina,0.02
39073090,Argentina,0.05
39074000,Argentina,34.56
39076100,Argentina,1.92
39089090,Argentina,143.75
39140090,Argentina,1.25
39173290,Argentina,7.07
39199090,Argentina,3.64
39201099,Argentina,1.48
39204900,Argentina,0
39211900,Argentina,2.59
39231090,Argentina,0.14
39232990,Argentina,90.54
39233090,Argentina,0
39239090,Argentina,0.77
39269099,Argentina,13.17
40012200,Argentina,508.58
40027000,Argentina,0
40040000,Argentina,0
40092100,Argentina,1.34
40094200,Argentina,331.77
40103999,Argentina,22.48
40114010,Argentina,417.09
40169310,Argentina,0
40169320,Argentina,4.59
40169330,Argentina,0.88
40169340,Argentina,0
40169390,Argentina,28.62
40169980,Argentina,0.52
40169990,Argentina,52.16
41012010,Argentina,0
41015010,Argentina,92.54
41015090,Argentina,246.48
41019010,Argentina,69.7
41019090,Argentina,55.44
41021010,Argentina,33.24
41041100,Argentina,324.37
41041900,Argentina,1930.9
41044100,Argentina,9829.94
41044900,Argentina,11501.08
41053000,Argentina,1.9
41062100,Argentina,93.55
41071100,Argentina,4616.62
41071200,Argentina,134.13
41071900,Argentina,265.92
41079100,Argentina,473.34
41079200,Argentina,748.45
41079900,Argentina,211.07
41120000,Argentina,0
41131000,Argentina,0
41139000,Argentina,0
41142010,Argentina,0
42010000,Argentina,0
44071100,Argentina,7.68
44091090,Argentina,24.37
47079000,Argentina,0
48119017,Argentina,10.36
48191010,Argentina,0.06
48191090,Argentina,0
48192090,Argentina,0
48211090,Argentina,2.63
48236900,Argentina,0
49011020,Argentina,0
49019900,Argentina,2.68
49059990,Argentina,0.14
49111090,Argentina,0.5
51011900,Argentina,297.61
51012100,Argentina,46.15
51012900,Argentina,181.75
51032090,Argentina,0
52010020,Argentina,336.64
52093190,Argentina,0
54023300,Argentina,0
55033000,Argentina,14.01
55051010,Argentina,0
57033090,Argentina,111.6
61091000,Argentina,84.06
61099090,Argentina,9.72
62043200,Argentina,7.97
62043300,Argentina,9.17
62044390,Argentina,5.28
62064000,Argentina,8.84
70101000,Argentina,0
70109000,Argentina,0.53
70171000,Argentina,0
70179010,Argentina,0.81
70179090,Argentina,4.54
70200090,Argentina,0
71031019,Argentina,0
71031029,Argentina,11.27
71081200,Argentina,133636.49
71131190,Argentina,0.31
72022100,Argentina,7.52
72022900,Argentina,0
72029990,Argentina,374.61
72044900,Argentina,104.69
72071110,Argentina,1.29
72103090,Argentina,67.96
73042390,Argentina,4502.21
73042400,Argentina,0.82
73042990,Argentina,69.56
73044100,Argentina,2663.21
73049000,Argentina,13306.32
73072900,Argentina,0.03
73079290,Argentina,1.68
73079990,Argentina,0.49
73090010,Argentina,51.11
73090040,Argentina,16.71
73090090,Argentina,0
73102990,Argentina,24.35
73121090,Argentina,3.84
73151210,Argentina,0.11
73151290,Argentina,0.12
73151900,Argentina,0
73181500,Argentina,4.68
73181600,Argentina,1.96
73181900,Argentina,0.33
73182200,Argentina,0.21
73182400,Argentina,1.05
73182990,Argentina,0.59
73202000,Argentina,0.03
73209020,Argentina,0.92
73209090,Argentina,1.06
73262090,Argentina,1.36
73269099,Argentina,35.14
74040022,Argentina,72.48
74152100,Argentina,2.66
74199990,Argentina,11.8
76020010,Argentina,153.67
76169990,Argentina,1.74
78019920,Argentina,192.5
78019990,Argentina,994.59
79011200,Argentina,0
79012090,Argentina,0
79020010,Argentina,33.15
81011000,Argentina,173.41
81089090,Argentina,0
81101000,Argentina,0
82059090,Argentina,7.03
82075000,Argentina,0
82076090,Argentina,10.98
82079090,Argentina,0
82081000,Argentina,1.58
82089090,Argentina,2.22
83023090,Argentina,3.07
83025000,Argentina,0.2
83099020,Argentina,0.06
83099090,Argentina,0.12
84099911,Argentina,457.63
84099949,Argentina,363.77
84099990,Argentina,75.45
84119900,Argentina,0.93
84133090,Argentina,0.02
84135010,Argentina,1.58
84135090,Argentina,0
84136010,Argentina,56.93
84137099,Argentina,561.09
84138190,Argentina,0.06
84139120,Argentina,4.45
84139190,Argentina,300.95
84141000,Argentina,3.01
84145990,Argentina,0.34
84148090,Argentina,622.04
84149019,Argentina,0
84149040,Argentina,0
84149090,Argentina,46.02
84159000,Argentina,0.58
84192010,Argentina,2.21
84192090,Argentina,0.37
84193900,Argentina,5.43
84198940,Argentina,12.21
84198990,Argentina,1.55
84199090,Argentina,0.26
84212190,Argentina,0
84212900,Argentina,7.72
84213920,Argentina,12.96
84213990,Argentina,0
84219900,Argentina,0.06
84224000,Argentina,0
84229090,Argentina,5.88
84249000,Argentina,475.04
84269990,Argentina,30.07
84279000,Argentina,10.52
84282019,Argentina,0
84289090,Argentina,100.14
84312090,Argentina,7.43
84313910,Argentina,0
84313990,Argentina,1.48
84314390,Argentina,1450.69
84314990,Argentina,0
84369900,Argentina,0
84379090,Argentina,5.49
84389090,Argentina,2.25
84411090,Argentina,11.11
84433100,Argentina,494.14
84439100,Argentina,1.38
84439959,Argentina,32.33
84463019,Argentina,64.92
84463090,Argentina,19.2
84484990,Argentina,0
84543010,Argentina,0
84553000,Argentina,0
84559000,Argentina,48.06
84649000,Argentina,47.83
84659400,Argentina,0
84669400,Argentina,7.22
84672900,Argentina,6.14
84709020,Argentina,0
84715000,Argentina,0
84719000,Argentina,0
84729020,Argentina,64.62
84743900,Argentina,0
84771000,Argentina,5.45
84774000,Argentina,0.7
84775900,Argentina,0
84779000,Argentina,1.12
84798200,Argentina,0
84798999,Argentina,47.49
84799090,Argentina,60.54
84807100,Argentina,0
84807900,Argentina,1.76
84811000,Argentina,0
84814000,Argentina,74.3
84818030,Argentina,65.07
84818090,Argentina,51.93
84819090,Argentina,24.41
84821090,Argentina,0
84822090,Argentina,0.7
84825023,Argentina,4.21
84828000,Argentina,0
84831099,Argentina,8.94
84832000,Argentina,1.43
84833000,Argentina,0
84834000,Argentina,3.77
84835010,Argentina,0
84835090,Argentina,0
84836090,Argentina,5.39
84839000,Argentina,9.47
84841090,Argentina,0.23
84842000,Argentina,29.32
84849000,Argentina,5.4
85014090,Argentina,0.12
85015210,Argentina,0
85015290,Argentina,0
85043100,Argentina,0
85044040,Argentina,0.69
85044090,Argentina,0
85045090,Argentina,0.05
85049010,Argentina,0.21
85102000,Argentina,5.34
85158090,Argentina,0
85161000,Argentina,0.31
85168000,Argentina,0.63
85169000,Argentina,0.31
85177090,Argentina,0
85219090,Argentina,0
85308000,Argentina,63.03
85322990,Argentina,1.61
85362090,Argentina,15.82
85364900,Argentina,37.51
85365090,Argentina,0
85366910,Argentina,0
85369090,Argentina,0
85371000,Argentina,0
85381010,Argentina,0.99
85389000,Argentina,22.3
85429000,Argentina,7.92
85437011,Argentina,0.05
85437099,Argentina,0
85444299,Argentina,0.83
85444999,Argentina,0.87
85446090,Argentina,1.12
85447090,Argentina,0.82
85472000,Argentina,0
86079100,Argentina,0
87083000,Argentina,0
87084000,Argentina,2262.11
87089900,Argentina,8.49
87113020,Argentina,0
87168010,Argentina,0
87169090,Argentina,2.83
90181290,Argentina,233.1
90183930,Argentina,12.63
90184900,Argentina,0
90189019,Argentina,1.55
90189029,Argentina,7.13
90189042,Argentina,2.13
90189044,Argentina,0
90189099,Argentina,0.38
90192090,Argentina,3764.24
90229090,Argentina,0.22
90248099,Argentina,0
90249000,Argentina,0
90258090,Argentina,0
90259000,Argentina,0.05
90261090,Argentina,0.37
90271000,Argentina,3.58
90272000,Argentina,20.22
90278090,Argentina,165.32
90279090,Argentina,12.98
90289090,Argentina,6
90301000,Argentina,0
90303900,Argentina,1.52
90304000,Argentina,91.25
90309090,Argentina,23.22
90314900,Argentina,0
90318000,Argentina,4.8
90328990,Argentina,4.77
90330000,Argentina,96.65
93069000,Argentina,25.8
95066990,Argentina,0
95069990,Argentina,0
96020090,Argentina,0.26
99930010,Argentina,0.07
99930090,Argentina,0.1
22082091,Armenia,7.56
28362020,Armenia,350.18
29333990,Armenia,1.45
32041761,Armenia,0.35
35069190,Armenia,0
39259090,Armenia,0
39264059,Armenia,0
39269099,Armenia,0
41041100,Armenia,15.22
41041900,Armenia,21.96
41062100,Armenia,52.17
49119990,Armenia,0
71022990,Armenia,0
71023910,Armenia,81.1
71031029,Armenia,70.8
72041000,Armenia,228.28
72042190,Armenia,0
72044900,Armenia,248.9
74040022,Armenia,0
76020010,Armenia,0
82089090,Armenia,0
84306900,Armenia,0
84440090,Armenia,0
84569090,Armenia,0.28
85441190,Armenia,0
90185090,Armenia,20.77
90189099,Armenia,0
90308990,Armenia,3.18
90330000,Armenia,0
98049000,Armenia,0.38
24022090,Aruba,0
76020010,Aruba,0
79020010,Aruba,0
85481020,Aruba,209.93
90289090,Aruba,5.75
1012990,Australia,0
1019090,Australia,0.13
1029090,Australia,0
1041010,Australia,2299.6
1061900,Australia,0.1
1069000,Australia,0
2042300,Australia,0
2043000,Australia,0
2044200,Australia,138.69
2044300,Australia,52.44
4012000,Australia,32.58
4021010,Australia,0
4021090,Australia,0
4022910,Australia,1.02
4031000,Australia,0.27
4039090,Australia,47.71
4041020,Australia,0
4062000,Australia,4.36
4063000,Australia,16.9
4069000,Australia,0
4090000,Australia,105.86
5100099,Australia,1770.28
6029030,Australia,7.33
6031900,Australia,0
7031010,Australia,95.14
7122000,Australia,12.72
7131000,Australia,621.34
7132010,Australia,44.5
7132020,Australia,507.19
7132090,Australia,54.66
7133110,Australia,0
7133190,Australia,2532.3
7134000,Australia,34434.66
7135000,Australia,256.89
7139090,Australia,1.57
8021100,Australia,42158.79
8021200,Australia,7.16
8023100,Australia,1729.32
8025100,Australia,558.42
8026200,Australia,2.77
8028090,Australia,0
8051000,Australia,3505.09
8052100,Australia,779.25
8052900,Australia,1.66
8054000,Australia,1.59
8055000,Australia,2.28
8061000,Australia,209.21
8081000,Australia,33.06
8083000,Australia,35.5
8091000,Australia,8.73
8092100,Australia,122.64
8092900,Australia,139.32
8093000,Australia,62.11
8094000,Australia,56.29
8102000,Australia,8.93
8104000,Australia,0
8105000,Australia,0
8109090,Australia,48.81
8112010,Australia,0
9012190,Australia,0.03
9021030,Australia,0
9022020,Australia,0
9023020,Australia,7.26
9024020,Australia,4.78
9024030,Australia,0.06
9024090,Australia,1.8
9041110,Australia,1.97
9042211,Australia,3.96
9042219,Australia,0
9081120,Australia,0
9092190,Australia,5.14
9093129,Australia,3
9093200,Australia,2.99
9096139,Australia,10.41
9109912,Australia,3.18
9109914,Australia,0.13
9109990,Australia,2.49
10019910,Australia,426.22
10049000,Australia,4601.78
10064000,Australia,33.89
10089090,Australia,0
11041200,Australia,1580.9
11041900,Australia,0
11042200,Australia,3839.97
11072000,Australia,1523.29
11081100,Australia,37.95
12019000,Australia,0.44
12040090,Australia,0.5
12074090,Australia,6.99
12075090,Australia,0.28
12076010,Australia,0
12076090,Australia,0
12099120,Australia,4.75
12099130,Australia,10.96
12099140,Australia,0
12099190,Australia,14.56
12099990,Australia,0
12102000,Australia,13.43
12119029,Australia,3865.27
